50, 50
Calça, 4, Clothing
Colar, 5, Accessories
Camiseta, 2, Clothing
Bolsa, 5, Accessories
Quebra-cabeça, 10, Small_Toys
Carrinho de controle remoto, 20, Large_Toys
Fone de ouvido, 15, Small_Electronics
Televisor, 10, Large_Electronics
Livro de romance, 3, Books
Blusa de lã, 3, Clothing
Relógio de pulso, 1, Accessories
Quebra-cabeça em 3D, 15, Small_Toys
Bicicleta infantil, 20, Large_Toys
Fone de ouvido sem fio, 1, Small_Electronics
Telefone celular, 2, Large_Electronics
Livro de ficção científica, 4, Books
Camisa social, 2, Clothing
Pulseira de prata, 3, Accessories
Quebra-cabeça de animais, 8, Small_Toys
Patinete elétrico, 10, Large_Toys
Fone de ouvido Bluetooth, 5, Small_Electronics
Televisor de tela grande, 10, Large_Electronics
Livro de biografia, 5, Books
Livro de biografia, 5, Books
Kit de quebra-cabeça em 3D, 5, Small_Toys
---
48, 4
48, 9
48, 14
48, 19
48, 24
48, 29
48, 34
48, 39
48, 44
49, 34
49, 39
49, 44
48, 11
